Site,Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 0-2h,CRPS 2-5h,CRPS 5h+,PIT-KS 5h+,cov90 5h+,sharp 5h+,n
Redmere 1,Mean-variance (Student-t),67.66 ± 45.00,91.91 ± 61.14,39.67 ± 26.26,5.410 ± 3.359,9.562 ± 6.196,2.588 ± 0.947,0.282 ± 0.033,0.989 ± 0.003,13.17 ± 0.64,5
Redmere 1,Mean-variance (ALD),8.00 ± 9.95,10.70 ± 13.63,4.95 ± 5.72,1.493 ± 0.733,2.321 ± 1.402,1.321 ± 0.260,0.295 ± 0.020,0.995 ± 0.004,11.42 ± 0.46,5
Redmere 1,Analytical SDE (Gaussian),1.60,1.76,1.30,0.902,1.288,1.681,0.309,1.000,20.99,1
Redmere 1,Analytical SDE (Student-t),1.60,1.76,1.30,0.763,0.889,0.811,0.187,0.976,7.14,1
Redmere 1,MDN (mixture),66.86 ± 67.35,90.81 ± 91.53,39.27 ± 39.32,5.772 ± 5.076,10.247 ± 9.661,3.073 ± 1.707,0.283 ± 0.042,0.995 ± 0.005,22.69 ± 7.04,5
Redmere 1,Random Forest,1.46 ± 0.04,1.55 ± 0.06,1.23 ± 0.04,—,—,—,—,—,—,5
Redmere 1,XGBoost,1.52 ± 0.06,1.55 ± 0.08,1.19 ± 0.03,—,—,—,—,—,—,5
Redmere 2,"WienerNet-SS (ALD, primary)",1.86 ± 0.06,1.90 ± 0.17,1.96 ± 0.16,0.896 ± 0.037,1.088 ± 0.129,1.324 ± 0.252,0.277 ± 0.062,0.982 ± 0.022,13.16 ± 4.44,5
Redmere 2,WienerNet-SS (Gaussian),1.84 ± 0.04,1.96 ± 0.16,2.35 ± 0.72,1.000 ± 0.097,1.344 ± 0.251,1.610 ± 0.424,0.283 ± 0.009,0.987 ± 0.012,17.22 ± 4.57,5
Redmere 2,WienerNet-SS (beta-NLL),1.88 ± 0.05,1.98 ± 0.22,2.65 ± 0.83,0.972 ± 0.063,1.278 ± 0.182,1.666 ± 0.381,0.295 ± 0.051,0.968 ± 0.031,15.79 ± 4.50,5
Redmere 2,WienerNet-SS (Student-t),1.84 ± 0.06,1.81 ± 0.13,1.96 ± 0.21,0.895 ± 0.041,1.106 ± 0.105,1.282 ± 0.202,0.285 ± 0.022,0.990 ± 0.012,13.68 ± 2.72,5
Redmere 2,WienerNet-SS (mixture),1.84 ± 0.01,1.82 ± 0.03,1.80 ± 0.07,0.913 ± 0.061,1.198 ± 0.141,1.475 ± 0.244,0.285 ± 0.022,0.998 ± 0.002,18.55 ± 4.19,5
