model,site,seed,hour_bin,n,rmse,mae,bias,crps,cov90,sharp90,pit_ks
predicted-k,rosedene,0,18-21,4250,1.6467229653524282,0.8424965144860393,-0.20026750514787786,0.6698276383354327,0.6891764705882353,1.7042232886402773,0.15481887012230633
predicted-k,rosedene,1,18-21,4250,1.5957806293377061,0.8090310541715692,-0.011552439549390007,0.6335574143418147,0.796235294117647,2.2287560337000563,0.025945253348864328
predicted-k,rosedene,42,18-21,4250,1.596443999660839,0.8084267723599777,0.02894613340365536,0.6464706710940676,0.7788235294117647,2.165350552341314,0.027482818870122307
predicted-k,redmere_1,0,18-21,598,2.105057888825621,0.7763933711140152,0.1639713721293769,0.6279456925547418,0.7976588628762542,2.1930674831947385,0.038494652140799335
predicted-k,redmere_1,1,18-21,598,2.037901755409588,0.7426146062147059,0.11780655406490217,0.5949556107416837,0.7775919732441472,2.1557625161212974,0.038494652140799335
predicted-k,redmere_1,42,18-21,598,2.038053126737833,0.7465434030047229,0.12686190431482816,0.589812556112678,0.7842809364548495,2.18481941657928,0.034570681148382465
predicted-k,redmere_2,0,18-21,1299,1.248708802507685,0.6478482799434617,-0.03425955145675015,0.5491257491892599,0.7859892224788299,2.315305352707942,0.11087355848748848
predicted-k,redmere_2,1,18-21,1299,1.2458075856758615,0.6467104650900525,-0.014850069255388131,0.5377966831043872,0.792147806004619,2.3317632162732265,0.10890708008445188
predicted-k,redmere_2,42,18-21,1299,1.245475545642859,0.649276328173461,0.0076200301121573345,0.5516116815589729,0.8491147036181679,2.9007731705882187,0.11493608945190131
predicted-k,great_fen,0,18-21,1194,1.3110051431347143,0.882296056778387,0.07490380532677648,0.6841462495859382,0.8149078726968174,3.236057897518699,0.026493855415692324
predicted-k,great_fen,1,18-21,1194,1.307403263337716,0.8777303072425788,0.0674952381170375,0.7097973722812744,0.7018425460636516,2.997213009023753,0.06964691444018778
predicted-k,great_fen,42,18-21,1194,1.32003805644957,0.8879773621533185,0.10499134412662468,0.6850637737884668,0.6490787269681743,2.2138105542077704,0.08813042108230928
